T(sec)	Sa(cm/s2)
2.98	7.5101
2.99	-2.9262
3	-9.3602
3.01	-9.5156
3.02	-6.6444
3.03	-5.4931
3.04	-7.2301
3.05	-9.1738
3.06	-8.6504
3.07	-5.5149
3.08	-1.1874
3.09	2.9756
3.1	6.0153
3.11	7.5
3.12	7.7815
3.13	7.1897
3.14	5.0805
3.15	1.0393
3.16	-3.1587
3.17	-4.8417
3.18	-4.2558
3.19	-5.0327
3.2	-9.5489
3.21	-15.3553
3.22	-17.8402
3.23	-15.4827
3.24	-10.8718
3.25	-7.129
3.26	-4.9753
3.27	-3.216
3.28	-0.59
3.29	3.261
3.3	7.5421
3.31	10.3668
3.32	9.755
3.33	5.3987
3.34	-0.6359
3.35	-5.5398
3.36	-8.3185
3.37	-10.4096
3.38	-13.4324
3.39	-16.6163
3.4	-17.2205
3.41	-13.7103
3.42	-7.7584
3.43	-2.5012
3.44	0.6408
3.45	2.7169
3.46	5.469
3.47	9.9134
3.48	16.2558
3.49	23.5755
3.5	29.217
3.51	30.0198
3.52	25.359
3.53	18.3796
3.54	13.2279
3.55	11.2349
3.56	10.3766
3.57	8.053
3.58	3.5685
3.59	-1.8533
3.6	-6.3466
3.61	-8.3072
3.62	-6.9698
3.63	-3.1271
3.64	0.8065
3.65	2.3062
3.66	0.7947
3.67	-2.0566
3.68	-4.2906
3.69	-5.5702
3.7	-6.8554
3.71	-8.7738
3.72	-11.1225
3.73	-13.7163
3.74	-16.5843
3.75	-18.9594
3.76	-19.0194
3.77	-15.5089
3.78	-9.411
3.79	-3.4819
3.8	-0.0712
3.81	0.681
3.82	0.922
3.83	3.3012
3.84	8.2698
3.85	12.9154
3.86	13.4892
3.87	9.762
3.88	5.9483
3.89	6.1958
3.9	9.6539
3.91	11.2526
3.92	7.3406
3.93	-0.5281
3.94	-7.6736
3.95	-11.2361
3.96	-12.4046
3.97	-14.0758
3.98	-17.0087
3.99	-18.7309
4	-16.2966
4.01	-9.7594
4.02	-2.4198
4.03	2.3517
4.04	4.071
4.05	4.9335
4.06	7.2668
4.07	11.3334
4.08	15.0408
4.09	15.5687
4.1	11.8729
4.11	5.9337
4.12	1.1325
4.13	-0.7659
4.14	-0.6664
4.15	-0.5106
4.16	-1.5563
4.17	-4.066
4.18	-7.1515
4.19	-8.5284
4.2	-6.0786
4.21	-0.7177
4.22	3.5275
4.23	3.521
4.24	0.2509
4.25	-2.9282
4.26	-4.3001
4.27	-4.8552
4.28	-6.2673
4.29	-9.1758
4.3	-12.8584
4.31	-15.3647
4.32	-14.5701
4.33	-10.3438
4.34	-5.1365
4.35	-1.2644
4.36	1.7405
4.37	5.8983
4.38	11.7404
4.39	17.9226
4.4	23.0152
4.41	25.9807
4.42	25.7086
4.43	22.2505
4.44	18.1151
4.45	15.976
4.46	14.9727
4.47	11.5302
4.48	4.3126
4.49	-3.738
4.5	-9.0928
4.51	-11.5435
4.52	-13.3835
4.53	-16.0624
4.54	-18.7281
4.55	-19.2757
4.56	-16.2816
4.57	-10.7177
4.58	-5.903
4.59	-4.5201
4.6	-5.4145
4.61	-4.7429
4.62	-0.703
4.63	4.3099
4.64	6.7246
4.65	5.4474
4.66	1.9293
4.67	-1.7468
4.68	-3.9429
4.69	-4.1649
4.7	-3.7634
4.71	-4.6909
4.72	-6.7227
4.73	-7.3904
4.74	-5.5483
4.75	-3.1268
4.76	-1.9874
4.77	-1.0745
4.78	1.24
4.79	3.8273
4.8	4.6758
4.81	4.9524
4.82	7.793
4.83	13.0109
4.84	16.2221
4.85	14.2888
4.86	9.1929
4.87	5.0695
4.88	3.1814
4.89	1.4477
4.9	-2.1213
4.91	-6.9782
4.92	-10.5427
4.93	-10.3868
4.94	-6.6435
4.95	-2.8519
4.96	-3.2974
4.97	-8.4317
4.98	-13.7815
4.99	-14.6045
5	-10.9689
5.01	-6.9894
5.02	-5.7762
5.03	-6.9207
5.04	-8.741
5.05	-10.8075
5.06	-13.3383
5.07	-15.7383
5.08	-17.3048
5.09	-18.7081
5.1	-21.311
5.11	-25.0625
5.12	-28.128
5.13	-28.7434
5.14	-26.6372
5.15	-22.5307
5.16	-17.1702
5.17	-11.341
5.18	-6.1606
5.19	-2.6064
5.2	-0.8526
5.21	-0.4023
5.22	-0.6743
5.23	-1.205
5.24	-1.6166
5.25	-1.8354
5.26	-2.1534
5.27	-2.6312
5.28	-2.5836
5.29	-1.1627
5.3	1.5047
5.31	4.1156
5.32	5.1721
5.33	3.9732
5.34	0.9229
5.35	-2.4736
5.36	-3.8846
5.37	-1.3286
5.38	5.0584
5.39	12.4765
5.4	17.3043
5.41	17.9072
5.42	15.6832
5.43	13.3999
5.44	12.6716
5.45	13.0196
5.46	12.9308
5.47	11.3014
5.48	7.9483
5.49	3.5226
5.5	-0.5274
5.51	-2.4986
5.52	-1.9767
5.53	-0.8209
5.54	-1.5807
5.55	-4.5949
5.56	-7.578
5.57	-8.5541
5.58	-8.1279
5.59	-7.9285
5.6	-7.8692
5.61	-6.6236
5.62	-4.4719
5.63	-3.719
5.64	-5.5654
5.65	-7.7982
5.66	-6.6121
5.67	-0.3694
5.68	8.7596
5.69	16.3137
5.7	18.5602
5.71	15.0799
5.72	9.0856
5.73	4.5462
5.74	2.4419
5.75	0.5106
5.76	-2.9745
5.77	-6.5229
5.78	-7.7235
5.79	-7.1051
5.8	-7.6959
5.81	-10.8068
5.82	-14.1252
5.83	-14.6539
5.84	-12.2327
5.85	-9.3344
5.86	-8.3192
5.87	-9.6866
5.88	-12.1992
5.89	-13.7137
5.9	-12.3919
5.91	-8.1753
5.92	-3.0458
5.93	0.8076
5.94	2.9461
5.95	4.3043
5.96	5.2915
5.97	5.2241
5.98	3.5759
5.99	0.791
6	-2.4539
6.01	-6.0028
6.02	-9.77
6.03	-13.0746
6.04	-14.8664
6.05	-14.2126
6.06	-10.2975
6.07	-2.6909
6.08	7.5033
6.09	17.0556
6.1	22.2601
6.11	21.7744
6.12	17.6603
6.13	13.4646
6.14	11.401
6.15	11.2871
6.16	11.6664
6.17	11.5108
6.18	10.9196
6.19	10.5795
6.2	10.8897
6.21	11.698
6.22	12.6458
6.23	13.3006
6.24	12.7506
6.25	9.5548
6.26	2.8927
6.27	-5.9808
6.28	-13.9125
6.29	-18.0186
6.3	-17.7362
6.31	-14.6547
6.32	-10.6724
6.33	-6.8173
6.34	-3.6659
6.35	-1.8699
6.36	-1.5057
6.37	-1.418
6.38	-0.3874
6.39	0.8199
6.4	-0.3411
6.41	-5.0254
6.42	-10.568
6.43	-12.3686
6.44	-8.368
6.45	-0.9608
6.46	5.5487
6.47	8.4601
6.48	7.4522
6.49	3.2808
6.5	-2.7514
6.51	-8.225
6.52	-10.1099
6.53	-7.0213
6.54	-0.8406
6.55	4.6914
