T(sec)	Sa(cm/s2)
3.39	0.5369
3.4	-0.3792
3.41	-1.309
3.42	-2.009
3.43	-2.2006
3.44	-1.857
3.45	-1.3402
3.46	-1.1406
3.47	-1.4333
3.48	-1.9111
3.49	-2.0752
3.5	-1.6844
3.51	-0.9301
3.52	-0.2149
3.53	0.2045
3.54	0.3685
3.55	0.4657
3.56	0.5906
3.57	0.6691
3.58	0.6011
3.59	0.4185
3.6	0.2675
3.61	0.2702
3.62	0.4821
3.63	0.9976
3.64	1.9827
3.65	3.4666
3.66	5.099
3.67	6.2664
3.68	6.5979
3.69	6.3523
3.7	6.1968
3.71	6.5409
3.72	7.1351
3.73	7.3783
3.74	6.9851
3.75	6.2694
3.76	5.7585
3.77	5.6061
3.78	5.4579
3.79	4.8762
3.8	3.8182
3.81	2.6478
3.82	1.7004
3.83	0.9021
3.84	-0.1289
3.85	-1.5816
3.86	-3.081
3.87	-3.9022
3.88	-3.6584
3.89	-2.8013
3.9	-2.3364
3.91	-2.9107
3.92	-4.1494
3.93	-4.9766
3.94	-4.6529
3.95	-3.4711
3.96	-2.3916
3.97	-2.0442
3.98	-2.1855
3.99	-2.1325
4	-1.5861
4.01	-0.9067
4.02	-0.615
4.03	-0.7731
4.04	-0.9412
4.05	-0.6943
4.06	-0.1002
4.07	0.3177
4.08	0.047
4.09	-0.959
4.1	-2.1908
4.11	-2.8889
4.12	-2.5272
4.13	-1.1642
4.14	0.5648
4.15	1.8236
4.16	2.0824
4.17	1.424
4.18	0.4614
4.19	-0.0707
4.2	0.2066
4.21	1.0672
4.22	1.845
4.23	1.9343
4.24	1.2684
4.25	0.3616
4.26	-0.1565
4.27	-0.1058
4.28	0.117
4.29	-0.0319
4.3	-0.7005
4.31	-1.5274
4.32	-2.0388
4.33	-2.1258
4.34	-2.1366
4.35	-2.5397
4.36	-3.4976
4.37	-4.7017
4.38	-5.5586
4.39	-5.5739
4.4	-4.6783
4.41	-3.2712
4.42	-1.9216
4.43	-0.942
4.44	-0.2234
4.45	0.4874
4.46	1.1537
4.47	1.3814
4.48	0.8787
4.49	-0.0293
4.5	-0.4773
4.51	0.1991
4.52	1.7382
4.53	3.0251
4.54	3.0117
4.55	1.6842
4.56	0.1676
4.57	-0.1742
4.58	1.1298
4.59	3.2616
4.6	4.7544
4.61	4.5896
4.62	2.8737
4.63	0.6589
4.64	-0.8495
4.65	-1.0911
4.66	-0.4416
4.67	0.1564
4.68	-0.0304
4.69	-0.9145
4.7	-1.6663
4.71	-1.4924
4.72	-0.4474
4.73	0.5212
4.74	0.409
4.75	-0.9076
4.76	-2.5511
4.77	-3.44
4.78	-3.1843
4.79	-2.2324
4.8	-1.2701
4.81	-0.6123
4.82	-0.1777
4.83	0.125
4.84	0.1889
4.85	-0.0879
4.86	-0.5535
4.87	-0.9189
4.88	-1.1282
4.89	-1.4841
4.9	-2.3093
4.91	-3.5054
4.92	-4.5138
4.93	-4.7261
4.94	-3.9137
4.95	-2.2978
4.96	-0.3063
4.97	1.6737
4.98	3.3743
4.99	4.611
5	5.2492
5.01	5.2092
5.02	4.5088
5.03	3.335
5.04	2.0733
5.05	1.1797
5.06	0.9155
5.07	1.1636
5.08	1.54
5.09	1.7141
5.1	1.6157
5.11	1.3444
5.12	0.9687
5.13	0.5235
5.14	0.1993
5.15	0.386
5.16	1.3515
5.17	2.8336
5.18	4.0635
5.19	4.3453
5.2	3.6726
5.21	2.7337
5.22	2.2536
5.23	2.3235
5.24	2.3824
5.25	1.8394
5.26	0.679
5.27	-0.5354
5.28	-1.2046
5.29	-1.2113
5.3	-0.9359
5.31	-0.8151
5.32	-0.8996
5.33	-0.8234
5.34	-0.1893
5.35	1.0084
5.36	2.3392
5.37	3.3115
5.38	3.7853
5.39	3.9988
5.4	4.219
5.41	4.4432
5.42	4.4863
5.43	4.2836
5.44	3.9756
5.45	3.6652
5.46	3.222
5.47	2.4639
5.48	1.5137
5.49	0.8185
5.5	0.7027
5.51	0.9482
5.52	0.9446
5.53	0.3172
5.54	-0.6612
5.55	-1.3793
5.56	-1.621
5.57	-1.8876
5.58	-2.8659
5.59	-4.5514
5.6	-6.0117
5.61	-6.1555
5.62	-4.7642
5.63	-2.702
5.64	-1.0998
5.65	-0.4155
5.66	-0.326
5.67	-0.3705
5.68	-0.4543
5.69	-0.6852
5.7	-0.9589
5.71	-0.9558
5.72	-0.541
5.73	0.0211
5.74	0.3265
5.75	0.1969
5.76	-0.2975
5.77	-1.0549
5.78	-1.994
5.79	-2.8883
5.8	-3.3567
5.81	-3.1839
5.82	-2.5884
5.83	-2.009
5.84	-1.5964
5.85	-1.0618
5.86	-0.1419
5.87	0.8687
5.88	1.2431
5.89	0.5696
5.9	-0.699
5.91	-1.5557
5.92	-1.3398
5.93	-0.3146
5.94	0.6297
5.95	0.8052
5.96	0.2728
5.97	-0.3348
5.98	-0.4289
5.99	0.0967
6	0.925
6.01	1.663
6.02	2.0735
6.03	2.0539
6.04	1.5738
6.05	0.7543
6.06	-0.0565
6.07	-0.4727
6.08	-0.4267
6.09	-0.2476
6.1	-0.2578
6.11	-0.3306
6.12	-0.0137
6.13	0.848
6.14	1.7592
6.15	2.0113
6.16	1.4489
6.17	0.6475
6.18	0.282
6.19	0.4537
6.2	0.7485
6.21	0.8383
6.22	0.7916
6.23	0.7461
6.24	0.5019
6.25	-0.3142
6.26	-1.6796
6.27	-2.9619
6.28	-3.4019
6.29	-2.7852
6.3	-1.6008
6.31	-0.5964
6.32	-0.2288
6.33	-0.455
6.34	-0.8844
6.35	-1.0715
6.36	-0.7662
6.37	-0.0254
6.38	0.8581
6.39	1.5388
6.4	1.7558
6.41	1.3715
6.42	0.4115
6.43	-0.8527
6.44	-1.9401
6.45	-2.4383
6.46	-2.2947
6.47	-1.763
6.48	-1.0337
6.49	-0.0282
6.5	1.3392
6.51	2.7803
6.52	3.7001
6.53	3.7122
6.54	2.9802
6.55	1.9631
6.56	0.9115
6.57	-0.2299
6.58	-1.4411
6.59	-2.3479
6.6	-2.4849
6.61	-1.8045
6.62	-0.8003
6.63	-0.1012
6.64	-0.0094
6.65	-0.4345
6.66	-1.1316
6.67	-1.8712
6.68	-2.4416
6.69	-2.698
6.7	-2.7189
6.71	-2.8048
6.72	-3.1529
6.73	-3.5177
6.74	-3.3387
6.75	-2.3058
6.76	-0.7536
6.77	0.6034
6.78	1.3287
6.79	1.5959
6.8	1.8676
6.81	2.3474
6.82	2.827
6.83	3.02
6.84	2.9148
6.85	2.7454
6.86	2.7024
6.87	2.7812
6.88	2.9001
6.89	3.0478
6.9	3.2348
6.91	3.3566
6.92	3.2144
6.93	2.6946
6.94	1.8585
6.95	0.8199
6.96	-0.3899
6.97	-1.7304
6.98	-2.9353
6.99	-3.5159
7	-3.1162
7.01	-1.9005
7.02	-0.5375
7.03	0.2707
7.04	0.2961
7.05	-0.1343
7.06	-0.5328
7.07	-0.7237
7.08	-0.9519
7.09	-1.5381
7.1	-2.4101
7.11	-2.9654
7.12	-2.4712
7.13	-0.7382
7.14	1.519
7.15	3.0755
7.16	3.1513
7.17	2.1174
7.18	1.2212
7.19	1.4808
7.2	2.7648
7.21	3.9615
7.22	4.0551
7.23	3.0086
7.24	1.6071
7.25	0.5593
7.26	-0.1145
7.27	-0.8309
7.28	-1.7802
7.29	-2.6826
7.3	-3.1775
7.31	-3.2801
7.32	-3.336
7.33	-3.5768
7.34	-3.8513
7.35	-3.8351
7.36	-3.4261
7.37	-2.8521
7.38	-2.404
7.39	-2.1468
7.4	-1.9419
7.41	-1.7189
7.42	-1.636
7.43	-1.9008
7.44	-2.4371
7.45	-2.8103
7.46	-2.5803
7.47	-1.7566
7.48	-0.8528
7.49	-0.4347
7.5	-0.6172
7.51	-1.0225
7.52	-1.1841
7.53	-0.9098
7.54	-0.2701
7.55	0.5988
7.56	1.5322
7.57	2.2325
7.58	2.3511
7.59	1.8316
7.6	1.1178
7.61	0.845
7.62	1.2203
7.63	1.7456
7.64	1.66
7.65	0.7179
7.66	-0.4873
7.67	-1.0345
7.68	-0.5603
7.69	0.355
7.7	0.7269
7.71	0.1393
7.72	-0.8019
7.73	-1.0116
7.74	0.0377
7.75	1.7736
7.76	2.9751
7.77	2.7596
7.78	1.2128
7.79	-0.7821
7.8	-2.2083
7.81	-2.4882
7.82	-1.6947
7.83	-0.4712
7.84	0.2835
7.85	-0.0165
7.86	-1.08
7.87	-1.7839
7.88	-1.1086
7.89	0.7569
7.9	2.3783
7.91	2.4092
7.92	0.9982
7.93	-0.329
7.94	-0.2805
7.95	0.8923
7.96	1.857
7.97	1.8102
7.98	1.2941
7.99	1.3513
8	2.1952
8.01	3.0316
8.02	3.1006
8.03	2.5427
8.04	2.0902
8.05	2.1366
8.06	2.3874
8.07	2.3924
8.08	2.1422
8.09	1.9828
8.1	2.0761
8.11	2.1766
8.12	2.0041
8.13	1.7072
8.14	1.8063
8.15	2.6352
8.16	3.8859
8.17	4.7803
8.18	4.7524
8.19	3.9757
8.2	3.1754
8.21	2.8741
8.22	2.8442
8.23	2.3815
8.24	1.1393
8.25	-0.3918
8.26	-1.3116
8.27	-1.184
8.28	-0.4126
8.29	0.2005
8.3	0.1209
8.31	-0.6964
8.32	-1.9873
8.33	-3.3008
8.34	-3.9947
8.35	-3.4997
8.36	-1.9074
8.37	-0.2207
8.38	0.3193
8.39	-0.632
8.4	-2.1242
8.41	-2.7853
8.42	-2.0945
8.43	-0.7178
8.44	0.3585
8.45	0.8395
8.46	1.1885
8.47	1.8422
8.48	2.594
8.49	2.812
8.5	2.1389
8.51	0.8592
8.52	-0.3776
8.53	-1.0941
8.54	-1.257
8.55	-1.146
8.56	-1.0495
8.57	-1.0662
8.58	-1.1196
8.59	-1.0987
8.6	-0.9482
8.61	-0.6235
8.62	-0.0379
8.63	0.8113
8.64	1.6148
8.65	1.782
8.66	0.9076
8.67	-0.7153
8.68	-2.166
8.69	-2.6405
8.7	-2.1746
8.71	-1.585
8.72	-1.6651
8.73	-2.4332
8.74	-3.1392
8.75	-2.9721
8.76	-1.8143
8.77	-0.4229
8.78	0.1085
8.79	-0.7617
8.8	-2.4561
8.81	-3.5841
8.82	-3.0246
8.83	-0.9151
8.84	1.4039
8.85	2.521
8.86	2.1074
8.87	0.9944
8.88	0.1994
8.89	-0.0127
8.9	-0.1238
8.91	-0.6205
8.92	-1.45
8.93	-2.2101
8.94	-2.7069
8.95	-3.1908
8.96	-4.0445
8.97	-5.2963
8.98	-6.4359
8.99	-6.6903
9	-5.5621
9.01	-3.2539
9.02	-0.6484
9.03	1.2174
9.04	1.8268
9.05	1.4519
9.06	0.7753
9.07	0.2396
9.08	-0.2317
9.09	-0.9014
9.1	-1.6919
9.11	-2.0722
9.12	-1.5122
9.13	-0.0596
9.14	1.5269
9.15	2.2552
9.16	1.6422
9.17	0.158
9.18	-1.0116
9.19	-0.8097
9.2	0.8183
9.21	2.786
9.22	3.7383
9.23	3.2703
9.24	2.3216
9.25	2.2341
9.26	3.3316
9.27	4.4878
9.28	4.199
9.29	2.0943
9.3	-0.6492
9.31	-2.3633
9.32	-2.3082
9.33	-1.1065
9.34	0.0595
9.35	0.5629
9.36	0.7071
9.37	1.1492
9.38	2.0543
9.39	2.8211
9.4	2.6097
9.41	1.1363
9.42	-1.0228
9.43	-2.8605
9.44	-3.6493
9.45	-3.3164
9.46	-2.3265
9.47	-1.3515
9.48	-0.9636
9.49	-1.3333
9.5	-2.0012
9.51	-2.0485
9.52	-0.8049
9.53	1.4294
9.54	3.4373
9.55	4.0128
9.56	2.9026
9.57	0.8707
9.58	-1.0291
9.59	-2.1072
9.6	-2.077
9.61	-0.8179
9.62	1.5542
9.63	4.3771
9.64	6.5172
9.65	7.0836
9.66	6.1566
9.67	4.6857
9.68	3.5533
9.69	2.7938
9.7	1.8604
9.71	0.6424
9.72	-0.0355
9.73	0.8015
9.74	2.9785
9.75	4.9192
9.76	4.9627
9.77	2.9525
9.78	0.3633
9.79	-1.1897
9.8	-1.4117
9.81	-1.2262
9.82	-1.4422
9.83	-1.8707
9.84	-1.8246
9.85	-1.1558
9.86	-0.43
9.87	-0.0923
9.88	0.1587
9.89	0.8821
9.9	1.9204
9.91	2.3101
9.92	1.379
9.93	-0.2568
9.94	-1.1391
9.95	-0.5322
9.96	0.6601
9.97	0.7917
9.98	-0.6906
9.99	-2.4753
10	-2.56
10.01	-0.1585
10.02	3.5813
10.03	6.6263
10.04	7.6829
10.05	6.9011
10.06	5.3502
10.07	4.1068
10.08	3.7669
10.09	4.4216
10.1	5.7179
10.11	6.9266
10.12	7.2732
10.13	6.5243
10.14	5.2727
10.15	4.4129
10.16	4.1649
10.17	3.728
10.18	2.1509
10.19	-0.4038
10.2	-2.5047
10.21	-2.8225
10.22	-1.6491
10.23	-0.8168
10.24	-1.9464
10.25	-4.8233
10.26	-7.5996
10.27	-8.5526
10.28	-7.5523
10.29	-5.8998
10.3	-4.9923
10.31	-5.2658
10.32	-6.201
10.33	-6.9676
10.34	-6.9399
10.35	-5.8623
10.36	-3.891
10.37	-1.5858
10.38	0.3268
10.39	1.4052
10.4	1.7715
10.41	1.8888
10.42	2.0333
10.43	2.0204
10.44	1.4813
10.45	0.3954
10.46	-0.6993
10.47	-1.0823
10.48	-0.5042
10.49	0.4886
10.5	0.9031
10.51	0.0751
10.52	-1.7755
10.53	-3.6905
10.54	-4.6988
10.55	-4.5197
10.56	-3.6925
10.57	-3.0572
10.58	-3.0166
10.59	-3.1854
10.6	-2.7705
10.61	-1.4118
10.62	0.3051
10.63	1.2869
10.64	1.0023
10.65	0.0579
10.66	-0.4617
10.67	-0.2455
10.68	-0.1392
10.69	-1.0944
10.7	-2.8382
10.71	-3.8948
10.72	-3.1059
10.73	-0.992
10.74	0.6479
10.75	0.551
10.76	-0.7617
10.77	-1.6742
10.78	-1.2861
10.79	-0.2929
10.8	-0.0158
10.81	-0.806
10.82	-1.6805
10.83	-1.502
10.84	-0.2327
10.85	1.1332
10.86	1.694
10.87	1.4412
10.88	0.9825
10.89	0.7647
10.9	0.7341
10.91	0.6032
10.92	0.2286
10.93	-0.2505
10.94	-0.447
10.95	0.1249
10.96	1.6827
10.97	3.7287
10.98	5.0782
10.99	4.6713
11	2.5674
11.01	0.0519
11.02	-1.415
11.03	-1.3951
11.04	-0.5944
